GEOID,geometry
470650031001,POINT (-85.31284 35.051937)
470650016001,POINT (-85.321976 35.040662)
470650008001,POINT (-85.31196 35.06387)
470650124003,POINT (-85.306918 35.0382)
470650104321,POINT (-85.241144 35.13259)
470650030002,POINT (-85.205068 35.008489)
470650104314,POINT (-85.245544 35.153133)
470650104334,POINT (-85.245303 35.128355)
470650104321,POINT (-85.242318 35.131337)
470650104334,POINT (-85.248322 35.121285)
470650104332,POINT (-85.249103 35.139593)
470650104334,POINT (-85.246161 35.128266)
470650104321,POINT (-85.240395 35.134483)
470650109011,POINT (-85.330489 35.088867)
470650104331,POINT (-85.258418 35.121513)
470650104332,POINT (-85.247096 35.128453)
470650124003,POINT (-85.299273 35.043705)
470650104321,POINT (-85.242409 35.130715)
470650104334,POINT (-85.251664 35.11442)
470650104334,POINT (-85.242154 35.12582)
470650104321,POINT (-85.23824 35.135819)
470650104321,POINT (-85.220784 35.146153)
470650105015,POINT (-85.261858 35.113787)
470650104314,POINT (-85.248152 35.154476)
470650104321,POINT (-85.242501 35.129439)
470650104314,POINT (-85.248145 35.155773)
470650012003,POINT (-85.259187 35.043013)
470650104332,POINT (-85.249562 35.138418)
470650104333,POINT (-85.251069 35.116899)
470650104314,POINT (-85.247698 35.143243)
470650104314,POINT (-85.240872 35.135294)
470650104314,POINT (-85.246022 35.135273)
470650104321,POINT (-85.220539 35.145041)
470650104321,POINT (-85.238409 35.122876)
470650105015,POINT (-85.263455 35.114749)
470650104314,POINT (-85.245145 35.140579)
470650104332,POINT (-85.247458 35.127865)
470650104333,POINT (-85.257824 35.121452)
470650109021,POINT (-85.328373 35.096437)
470650124002,POINT (-85.299939 35.047444)
470650104314,POINT (-85.247653 35.143766)
470650104332,POINT (-85.247133 35.128431)
470650104353,POINT (-85.249362 35.142059)
470650104321,POINT (-85.238061 35.133083)
470650113214,POINT (-85.146242 35.033969)
470650114462,POINT (-85.152245 35.03795)
470650104334,POINT (-85.242521 35.120577)
470650104314,POINT (-85.247964 35.142454)
470650123001,POINT (-85.272732 35.065043)
470650020001,POINT (-85.300876 35.033556)
470650104353,POINT (-85.250892 35.149526)
470650105015,POINT (-85.263324 35.114517)
470650104314,POINT (-85.246232 35.154256)
470650104314,POINT (-85.245304 35.139454)
470650104321,POINT (-85.240555 35.129062)
470650012003,POINT (-85.259361 35.042394)
470650006003,POINT (-85.307294 35.060408)
470650124003,POINT (-85.306866 35.037625)
470650104314,POINT (-85.24805 35.155035)
470650123001,POINT (-85.263125 35.081869)
470650016001,POINT (-85.321976 35.040662)
470650008001,POINT (-85.313875 35.062819)
470650008001,POINT (-85.310258 35.063785)
470650123001,POINT (-85.263939 35.083101)
470650019002,POINT (-85.324185 35.014732)
470650104314,POINT (-85.245544 35.153133)
470650104353,POINT (-85.252175 35.1464)
470650104321,POINT (-85.242341 35.131335)
470650114453,POINT (-85.159949 35.040707)
470650104332,POINT (-85.249103 35.139593)
470650007003,POINT (-85.289728 35.069334)
470650104321,POINT (-85.238706 35.125568)
470650104334,POINT (-85.251664 35.11442)
470650104332,POINT (-85.249017 35.140668)
470650104311,POINT (-85.206109 35.149527)
470650104333,POINT (-85.254478 35.115252)
470650113211,POINT (-85.158499 35.023686)
470650104314,POINT (-85.248152 35.154476)
470650109021,POINT (-85.331294 35.095554)
470650104314,POINT (-85.248647 35.146738)
470650105016,POINT (-85.266089 35.112048)
470650114462,POINT (-85.16196 35.031607)
470650105016,POINT (-85.271126 35.106223)
470650104314,POINT (-85.246022 35.135273)
470650105015,POINT (-85.263455 35.114749)
470650105016,POINT (-85.271535 35.1079)
470650006001,POINT (-85.305392 35.062415)
470650031001,POINT (-85.310689 35.046092)
470650006003,POINT (-85.298999 35.061785)
470650019002,POINT (-85.312188 35.020796)
470650104314,POINT (-85.245395 35.140596)
470650014002,POINT (-85.275422 35.031791)
470650008001,POINT (-85.314422 35.062831)
470650105016,POINT (-85.272935 35.104371)
470650104353,POINT (-85.2517 35.146647)
470650104353,POINT (-85.251493 35.14788)
470650104321,POINT (-85.236699 35.129509)
470650031001,POINT (-85.305289 35.050535)
470650105015,POINT (-85.263324 35.114517)
470650105016,POINT (-85.271836 35.106475)
470650114023,POINT (-85.181308 35.091982)
470650104314,POINT (-85.246232 35.154256)
470650008001,POINT (-85.314143 35.063129)
470650109021,POINT (-85.331773 35.095378)
470650104353,POINT (-85.25139 35.147443)
470650104314,POINT (-85.245304 35.139454)
